Base_period_dates, Base_period_tmin, Base_period_tmax, Base_period_prec
NA, 16.1, 23.1, 0
NA, 10.6, 20.1, 5.6
NA, 13.1, 25.3, 0
NA, 16.1, 21, 0
NA, 15.2, 20.3, 0.8
NA, 16.4, 21.4, 2
NA, 11.2, 17.6, 0
NA, 9.3, 18.6, 0
NA, 10.4, 21, 0
NA, 12.7, 22.9, 0
NA, 16.1, 18.4, 16.3
NA, 14.1, 21.2, 44.2
NA, 16.5, 21.6, 0.8
NA, 15.9, 21.8, 6.9
NA, 17.5, 22.6, 0.3
NA, 15.8, 19.2, 0
NA, 15.7, 20.5, 0
NA, 17.1, 20.6, 0.5
NA, 15.8, 22.3, 0
NA, 14.1, 21.2, 0
NA, 11.6, 17.3, 8.6
NA, 12.1, 19.2, 6.6
NA, 13.6, 18.1, 19.3
NA, 15, 20.7, 21.6
NA, 14.6, 22.2, 34
NA, 16.2, 19.3, 0
NA, 15.9, 22, 5.6
NA, 13.4, 23.3, 0
NA, 14.3, 21.7, 2.8
NA, 15, 22, 0.3
NA, 16.1, 20.7, 12.4
NA, 15, 24, 0
NA, 16, 21.8, 1.8
NA, 15.6, 23.8, 0
NA, 18.8, 26.1, 0
NA, 19.6, 28.2, 0.8
NA, 17.7, 23.2, 0
NA, 17.2, 30.2, 1.3
NA, 13.9, 21, 0
NA, 14.2, 20.7, 1
NA, 14.7, 21, 8.4
NA, 15.2, 22, 1.3
NA, 15.3, 22.7, 11.9
NA, 15.4, 22, 1.5
NA, 15.8, 23.8, 0.3
NA, 17.5, 27.3, 0
NA, 15.2, 21.2, 0
NA, 15, 22, 0.3
NA, 15.4, 24.2, 0
NA, 18.3, 22.7, 0
NA, 17.3, 27.6, 9.9
NA, 17.4, 21, 0
NA, 15, 20.6, 1.5
NA, 14.2, 20.3, 2
NA, 14.5, 21, 1.8
NA, 14.8, 22.9, 0.8
NA, 15, 22.3, 0
NA, 15.8, 26.8, 0
NA, 16.2, 19, 0
NA, 14.5, 18.8, 6.6
NA, 14, 21.3, 4.1
NA, 13.4, 26.1, 0
NA, 20, 31.9, 0
NA, 16, 20, 2
NA, 16.2, 23.4, 0
NA, 16.7, 25.2, 0.5
NA, 18.7, 36, 0
NA, 17.1, 23.4, 0
NA, 17.4, 23, 1.3
NA, 16.2, 27, 0
NA, 20.5, 37.3, 0
NA, 19.5, 27.7, 13
NA, 17.4, 23.6, 1.5
NA, 20, 24.9, 0
NA, 19.9, 25.5, 0
NA, 19.6, 29.5, 0
NA, 21.2, 36.1, 0
NA, 22.3, 32, 1
NA, 25.3, 39.9, 0
NA, 20.7, 34, 0
NA, 21.2, 31.8, 0
NA, 18.7, 22.3, 0.3
NA, 18.5, 29.8, 10.2
NA, 19.9, 24.7, 0
NA, 20.8, 27.2, 0
NA, 21.1, 30.4, 0
NA, 19.6, 22.7, 0
NA, 17.7, 23.6, 0
NA, 18.4, 26.4, 0
NA, 20.6, 28.2, 0
NA, 18.2, 22, 1.3
NA, 19.4, 22.7, 0
NA, 17.1, 25.3, 0
NA, 21.5, 24.4, 0
NA, 18, 24.2, 168.9
NA, 18.8, 27.2, 6.6
NA, 19, 24.1, 7.4
NA, 18, 23.3, 0.3
NA, 18, 27.2, 0
NA, 21, 30.5, 0
NA, 18.8, 26.1, 0.3
NA, 16.4, 27.4, 0
NA, 20.9, 26.2, 0
NA, 20.4, 26.2, 0
NA, 19.9, 26.3, 0
NA, 20.1, 26.4, 0
NA, 19.9, 26.4, 0
NA, 19.9, 27.6, 0
NA, 21.2, 26.6, 0
NA, 22.3, 28.4, 0
NA, 21.6, 29.2, 0
NA, 22.1, 34.7, 0
NA, 22.6, 26.8, 2
NA, 22.3, 24.3, 2
NA, 20.1, 22.1, 68.6
NA, 20.1, 28.7, 10.7
NA, 21.7, 28.1, 0
NA, 22.3, 36.8, 0
NA, 20.1, 25.8, 80
NA, 20.7, 31.3, 13
NA, 23.1, 31.3, 12.4
NA, 23.8, 36.3, 0
NA, 23.4, 32.5, 0
NA, 26.6, 39.6, 0
NA, 15.4, 18.8, 1
NA, 15.3, 19, 20.1
NA, 16.4, 23.5, 15.5
NA, 17.5, 20.9, 20.1
NA, 17.7, 21.3, 25.4
NA, 17.4, 23.3, 29.5
NA, 18.1, 24.2, 4.3
NA, 18, 25, 15.2
NA, 18.6, 25.3, 7.1
NA, 19.8, 26.7, 5.8
NA, 20.3, 24.8, 16
NA, 19.6, 26.2, 9.4
NA, 19.3, 27.2, 0
NA, 19.9, 27.3, 0
NA, 20.2, 26.4, 0
NA, 19.9, 30.4, 4.1
NA, 20.7, 22.6, 0
NA, 19.1, 24.2, 54.6
NA, 18, 23.2, 0
NA, 19, 25.3, 22.9
NA, 20, 26.7, 1.5
NA, 21.9, 27.4, 0
NA, 20.1, 27.3, 6.4
NA, 17.7, 26.6, 0
NA, 19.2, 26.7, 0
NA, 19.8, 26.8, 0
NA, 18.4, 25.8, 0.5
NA, 17.6, 23.5, 7.9
NA, 18.4, 30.1, 0
NA, 20.7, 28.6, 0
NA, 22.3, 27.8, 0
NA, 20.3, 26.9, 0
NA, 18.5, 26, 0
NA, 18.7, 29, 0
NA, 20.2, 27.7, 1.8
NA, 15.3, 22.2, 0
NA, 12.8, 22.1, 0
NA, 17.4, 24.4, 0
NA, 20.4, 26.8, 0
NA, 20.3, 29, 0
NA, 22, 27.4, 0.8
NA, 18.6, 23, 42.7
NA, 19.3, 24.1, 5.1
NA, 19.3, 22.9, 1.8
NA, 16.3, 20, 16.5
NA, 16, 22.6, 2.3
NA, 15.3, 23, 3
NA, 16.2, 24.4, 0.8
NA, 17.6, 25.6, 0
NA, 18.8, 27, 0
NA, 19.4, 21.3, 1
NA, 17.3, 25.5, 3.3
NA, 13.9, 20.5, 0
NA, 13, 21.5, 0
NA, 12.8, 23.8, 0
NA, 15.1, 29.9, 0
NA, 16.3, 26.8, 0
NA, 16.5, 26, 0
NA, 17.8, 26.4, 0
NA, 17.4, 26.2, 0
NA, 17.2, 23.9, 1.3
NA, 16.4, 21.2, 43.7
NA, 16.8, 21.3, 21.3
NA, 14.6, 22.1, 0.3
NA, 13.6, 23, 0
NA, 12.6, 24.2, 0
NA, 13.1, 24.5, 0
NA, 14.3, 29, 0
NA, 17.3, 24.3, 0
NA, 16.3, 24.3, 0
NA, 14.8, 22.9, 0.3
NA, 16.8, 26.5, 0
NA, 16, 23.2, 0
NA, 13, 23.8, 0
NA, 15.3, 23.2, 0
NA, 11.7, 21.2, 0
NA, 12.2, 21.2, 0
