"Description: ","Standardised Precipitation Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spi
1972-04, -0.0290125643117372
1972-05, 0.125963907749437
1972-06, 0.256666696481744
1972-07, 0.250644240635577
1972-08, 0.258074456299341
1972-09, -0.0130297268404434
1972-10, 0.260087473065786
1972-11, 0.143131366037308
1972-12, -0.2865518347266
1973-01, 0.000168812105079262
1973-02, 0.340174632706582
1973-03, 0.353468695407596
1973-04, 0.318393510045792
1973-05, 0.200903455057551
1973-06, 0.19265460759984
1973-07, 0.332577953132179
1973-08, 0.193522563566137
1973-09, 0.226398585145842
1973-10, 0.53310439893805
1973-11, 0.608285604559149
1973-12, 0.437907611183694
1974-01, 0.0652310797416391
1974-02, 0.115944154099425
1974-03, 0.267911288856139
1974-04, 0.417976723112135
1974-05, 0.672157962025493
1974-06, 0.778167901689543
1974-07, 0.792108534962792
1974-08, 1.04307020369183
1974-09, 1.0835551539777
1974-10, 0.945463573627117
1974-11, 1.01045973207422
1974-12, 0.99308530544828
1975-01, 0.602134933417295
1975-02, 0.201924769940382
1975-03, 0.690758720382504
1975-04, 0.688998405309769
1975-05, 0.674922713880837
1975-06, 1.07995544148171
1975-07, 0.98867930278703
1975-08, 0.914072371901147
1975-09, 0.870729235691817
1975-10, 0.784491524325365
1975-11, 0.633326292247632
1975-12, 0.651628027436374
1976-01, 0.850531994173833
1976-02, 0.971796129239788
1976-03, 1.03646794817152
1976-04, 0.871562931847226
1976-05, 0.540537706775961
1976-06, 0.413783926609152
1976-07, 0.63649111776965
1976-08, 0.430401762515683
1976-09, 0.56882182425755
1976-10, 0.904901551519882
1976-11, 0.954657553411821
1976-12, 0.960544916123294
1977-01, 1.08680914713944
1977-02, 1.05197359993412
1977-03, 0.872051619550439
1977-04, 0.794906814300496
1977-05, 1.00033900153023
1977-06, 0.540925318641841
1977-07, 0.473598243987416
1977-08, 0.486199170801363
1977-09, 0.482482754279398
1977-10, 0.310592192195704
1977-11, 0.320116609425106
1977-12, 0.312748942507722
1978-01, 0.171154585835737
1978-02, -0.219123362680388
1978-03, -0.309695940342475
1978-04, -0.175290956719712
1978-05, 0.0089661340137849
1978-06, 0.309385639643465
1978-07, 0.0643116624226077
1978-08, 0.0533597605539394
1978-09, 0.0302300355796006
1978-10, -0.310802390758061
1978-11, -0.382259640268864
1978-12, -0.22602571157296
1979-01, -0.221928181036148
1979-02, -0.450857217224457
1979-03, -0.584631873670482
1979-04, -0.607968050816899
1979-05, -0.644097878811184
1979-06, -0.450860332695496
1979-07, -0.436936072872488
1979-08, -0.480006460336765
1979-09, -0.518559130611303
1979-10, -0.477135147009937
1979-11, -0.429164817717723
1979-12, -0.45135215640123
1980-01, -0.552562343496775
1980-02, -0.365458835534147
1980-03, -0.752309025907394
1980-04, -1.03896060519376
1980-05, -1.0517707629064
1980-06, -1.525141282066
1980-07, -1.50227883489735
1980-08, -1.6011051848751
1980-09, -1.84274559920275
1980-10, -2.08426870849957
1980-11, -2.22445628608815
1980-12, -2.21750177375315
1981-01, -2.38841837166537
1981-02, -1.71173975516673
1981-03, -2.13050534822186
1981-04, -1.95672301731033
1981-05, -2.0531819151722
1981-06, -2.15114381818163
1981-07, -2.16963233040461
1981-08, -2.24309256899334
1981-09, -2.27609784459943
1981-10, -1.96493974275275
1981-11, -1.85903297476407
1981-12, -1.63713129330731
1982-01, -1.95520745378394
1982-02, -1.89121681010656
1982-03, -1.66417885051044
1982-04, -1.70548472995073
1982-05, -2.01576003669699
1982-06, -1.70658785467754
1982-07, -1.4950696787825
1982-08, -1.52000155006754
1982-09, -1.14193249434582
1982-10, -1.16332829118156
1982-11, -1.28860614031965
1982-12, -1.39351859882558
1983-01, -1.43863731096426
1983-02, -1.62420673947603
1983-03, -1.09032922857106
1983-04, -1.05348341253401
1983-05, -0.80134795373665
1983-06, -0.69330044308795
1983-07, -0.71407417176527
1983-08, -0.519226666993722
1983-09, -0.430323596073086
1983-10, -0.568598615789051
1983-11, -0.792377782361697
1983-12, -0.710328504594509
1984-01, -0.427825335280382
1984-02, -0.204158066816158
1984-03, -0.0102769472275294
1984-04, 0.142347607104226
1984-05, 0.35411468790763
1984-06, 0.307545676110595
1984-07, 0.293262032092129
1984-08, 0.276410723591096
1984-09, 0.0546485928713706
1984-10, 0.0616728621841055
1984-11, 0.944779479462713
1984-12, 1.07898946837194
1985-01, 1.01982355867618
1985-02, 0.94744731145094
1985-03, 0.610980022788788
1985-04, 0.880946804240213
1985-05, 0.745430010768613
1985-06, 0.778793365391155
1985-07, 0.84308704549905
1985-08, 0.724780454328255
1985-09, 0.758977277165218
1985-10, 0.798133567775936
1985-11, 0.857559810410056
1985-12, 0.862617672082875
1986-01, 0.88738424489077
1986-02, 0.790000613508179
1986-03, 0.341901740769097
1986-04, 0.356625206630172
1986-05, 0.227914748696427
1986-06, 0.0970360985514899
1986-07, -0.133982523253158
1986-08, 0.670611406512313
1986-09, 0.642850567946245
1986-10, 0.650545743605951
1986-11, -0.0284785005267997
1986-12, -0.185763336079961
1987-01, -0.0679993445111889
1987-02, -0.0987274955612974
1987-03, 0.0348232511851328
1987-04, -0.488020309940768
1987-05, -0.636423780591187
1987-06, -0.654788925817168
1987-07, -0.62210545317062
1987-08, -0.307168329194985
1987-09, -0.426252565604484
1987-10, -0.222831085814941
1987-11, 0.0153284040239375
1987-12, -0.000549547883798529
1988-01, 0.131799803538934
1988-02, 0.158552498649398
1988-03, 0.280994102440448
1988-04, 0.939131699745255
1988-05, 1.15207982577513
1988-06, 1.18182721767323
1988-07, 1.32361318210666
1988-08, 0.727925361687489
1988-09, 0.9059525724423
1988-10, 0.837729466885896
1988-11, 0.897261727021548
1988-12, 1.12538257011314
1989-01, 1.24712824657949
1989-02, 1.29405469291814
1989-03, 1.32431013770955
1989-04, 1.82723528130204
1989-05, 1.99617519521539
1989-06, 2.13540469077027
1989-07, 2.03083960596875
1989-08, 1.90809262099889
1989-09, 1.88934879823429
1989-10, 1.54719642513457
1989-11, 1.34713106023516
1989-12, 1.46955047272827
1990-01, 1.17223633712662
1990-02, 1.85404601542976
1990-03, 2.00771175775828
1990-04, 1.77480022529145
1990-05, 1.75890722176877
1990-06, 1.58841614259682
1990-07, 1.52281677435844
1990-08, 1.77008938171626
1990-09, 1.85106141154505
1990-10, 1.98669615734615
1990-11, 1.80425421538931
1990-12, 1.64901096696213
1991-01, 1.63224845259889
1991-02, 1.44052682868936
1991-03, 1.28091219428528
1991-04, 0.79157799092944
1991-05, 0.806808384082992
1991-06, 0.837033397685796
1991-07, 0.975871326879103
1991-08, 0.909228254444567
1991-09, 0.929822929628109
1991-10, 0.953316971725375
1991-11, 0.944609060322286
1991-12, 0.998607186507297
1992-01, 0.974118658612055
1992-02, 0.559147017179553
1992-03, 0.426064890365376
1992-04, -0.0452401210376204
1992-05, -0.164370204627587
1992-06, -0.0255854176207054
1992-07, -0.133620555318213
1992-08, -0.438867145258131
1992-09, -0.802518074221649
1992-10, -0.799775375523659
1992-11, -0.606101738077064
1992-12, -0.261566776850003
1993-01, -0.38389416164358
1993-02, -0.265329352150495
1993-03, -0.147942275579166
1993-04, -0.139237411257106
1993-05, -0.3798920872149
1993-06, -0.884109338933984
1993-07, -0.919517120346987
1993-08, -0.833604078590938
1993-09, -0.542578279190257
1993-10, -0.481598496072284
1993-11, -0.390801874092463
1993-12, -0.686722470076655
1994-01, -0.723283724895243
1994-02, -1.28026985918901
1994-03, -1.05569817049512
1994-04, -0.923091183460633
1994-05, -1.0148144182904
1994-06, -0.989265489083264
1994-07, -0.894201356459161
1994-08, -0.977055168879941
1994-09, -0.962575620151249
1994-10, -1.06390693620781
1994-11, -1.2779408040836
1994-12, -1.52741044302671
1995-01, -1.45810321819968
1995-02, -1.42677993646848
1995-03, -1.26777529411887
1995-04, -1.39656030530674
1995-05, -1.0460376947935
1995-06, -0.816460919946902
1995-07, -1.04601011536881
1995-08, -1.21653929494431
1995-09, -1.06272505045524
1995-10, -1.1498648911752
1995-11, -0.983844024977385
1995-12, -0.811149023713525
1996-01, -0.61095763992738
1996-02, -0.627486675038293
1996-03, -0.916556421463125
1996-04, -1.1618130144999
1996-05, -0.864306536969443
1996-06, -0.604769385350041
1996-07, -0.667333247136213
1996-08, -0.445510625125667
1996-09, -0.254258794109051
1996-10, -0.331031283801113
1996-11, -0.251343770268107
1996-12, -0.312024080789301
1997-01, -0.137204502594616
1997-02, 0.0455572116638203
1997-03, -0.260119356949342
1997-04, -0.324911411301014
1997-05, -0.309158163762646
1997-06, -0.312338201953947
1997-07, -0.0127410247533805
1997-08, 0.0351626242851382
1997-09, -0.161398058904945
1997-10, -0.177600181105024
1997-11, -0.494738271642778
1997-12, -0.620763651389757
1998-01, -0.735001531773955
1998-02, -0.702102275639194
1998-03, -0.805154999082447
1998-04, -0.264711660277808
1998-05, -0.100170249472276
1998-06, -0.14103426731381
1998-07, -0.0991429266335992
1998-08, 0.495257880428354
1998-09, 0.349185334144854
1998-10, 0.375180165057916
1998-11, 0.311060449293999
1998-12, 0.351244600864554
1999-01, 0.33810444323752
1999-02, 0.338829341730891
1999-03, 0.35208855698019
1999-04, 0.75971357409534
1999-05, 0.54124110489656
1999-06, 0.504766683540872
1999-07, 0.50087128583306
1999-08, 0.696748456774652
1999-09, 0.546111857638437
1999-10, 0.826364247351272
1999-11, 0.939153720078917
1999-12, 1.03332322768728
2000-01, 0.966334448622055
2000-02, 0.885594428636031
2000-03, 1.25133466263028
2000-04, 0.844002978701876
2000-05, 0.504400235700329
2000-06, 0.325756192323745
2000-07, 0.212061728585936
2000-08, -0.655632265143832
2000-09, -0.666422996873744
2000-10, -0.62058622753038
2000-11, -0.492466960158802
2000-12, -0.486417410908683
2001-01, -0.474496149552238
2001-02, -0.480845477914947
2001-03, -0.339390228271624
2001-04, -0.523760400066025
2001-05, 0.0819368715744565
2001-06, -0.0347331621934763
2001-07, -0.145575908575479
2001-08, -0.268783044882632
2001-09, -0.270144154943652
2001-10, -0.64922383351419
2001-11, -0.654950310750688
2001-12, -0.718356279701684
2002-01, -0.63529459006348
2002-02, 0.0420448373495093
2002-03, -0.337482781149278
2002-04, -0.349842435479629
2002-05, -0.280748735453967
2002-06, -0.26001453299451
2002-07, -0.280009337349463
2002-08, -0.292055639999079
2002-09, -0.303169097874214
2002-10, -0.477540787193667
2002-11, -0.723749417796153
2002-12, -0.637664011252849
2003-01, -1.01778603502211
2003-02, -1.01669076489608
2003-03, -1.00220664990392
2003-04, -0.974760943781116
2003-05, -1.04119055033464
2003-06, -0.836796800008462
2003-07, -1.00645957671324
2003-08, -1.10474116879269
2003-09, -1.14323229173892
2003-10, -1.04534930900432
2003-11, -1.04978147124866
2003-12, -0.976891506949746
2004-01, -1.09200692007085
2004-02, -1.45170697125986
2004-03, -1.36966944933205
2004-04, -1.49727277121504
2004-05, -1.72861535884845
2004-06, -1.55708781204981
2004-07, -1.54981142795182
2004-08, -1.29592004231905
2004-09, -1.20156918446723
2004-10, -0.766264013724163
2004-11, -0.713939944047294
2004-12, -0.686301674117331
2005-01, -0.57919651400974
2005-02, -0.388296385753895
2005-03, -0.36155659948095
2005-04, -0.70188066078085
2005-05, -1.37422624141246
